Date,GoogleTrend,State
2015-07-12,79,BB
2015-07-19,59,BB
2015-07-26,76,BB
2012-12-30,57,HB
2013-01-06,54,HB
2013-01-13,51,HB
2013-01-20,55,HB
2013-01-27,49,HB
2013-02-03,58,HB
2013-02-10,47,HB
2013-02-17,63,HB
2013-02-24,55,HB
2013-03-03,52,HB
2013-03-10,48,HB
2013-03-17,54,HB
2013-03-24,63,HB
2013-03-31,56,HB
2013-04-07,66,HB
2013-04-14,55,HB
2013-04-21,57,HB
2013-04-28,55,HB
2013-05-05,56,HB
2013-05-12,61,HB
2013-05-19,46,HB
2013-05-26,65,HB
2013-06-02,54,HB
2013-06-09,52,HB
2013-06-16,63,HB
2013-06-23,57,HB
2013-06-30,64,HB
2013-07-07,60,HB
2013-07-14,72,HB
2013-07-21,63,HB
2013-07-28,74,HB
2013-08-04,54,HB
2013-08-11,60,HB
2013-08-18,53,HB
2013-08-25,70,HB
2013-09-01,63,HB
2013-09-08,68,HB
2013-09-15,56,HB
2013-09-22,70,HB
2013-09-29,58,HB
2013-10-06,67,HB
2013-10-13,54,HB
2013-10-20,63,HB
2013-10-27,62,HB
2013-11-03,65,HB
2013-11-10,61,HB
2013-11-17,79,HB
2013-11-24,76,HB
2013-12-01,71,HB
2013-12-08,79,HB
2013-12-15,97,HB
2013-12-22,63,HB
2013-12-29,68,HB
2014-01-05,83,HB
2014-01-12,59,HB
2014-01-19,70,HB
2014-01-26,55,HB
2014-02-02,60,HB
2014-02-09,49,HB
2014-02-16,62,HB
2014-02-23,52,HB
2014-03-02,66,HB
2014-03-09,45,HB
2014-03-16,57,HB
2014-03-23,44,HB
2014-03-30,61,HB
2014-04-06,57,HB
2014-04-13,62,HB
2014-04-20,58,HB
2014-04-27,80,HB
2014-05-04,71,HB
2014-05-11,64,HB
2014-05-18,62,HB
2014-05-25,73,HB
2014-06-01,71,HB
2014-06-08,69,HB
2014-06-15,74,HB
2014-06-22,57,HB
2014-06-29,71,HB
2014-07-06,57,HB
2014-07-13,73,HB
2014-07-20,62,HB
2014-07-27,79,HB
2014-08-03,76,HB
2014-08-10,72,HB
2014-08-17,75,HB
